Relationship ID1 Type1 ID2 Type2
STUDIES_WITH A Person B Person
FRIENDS_WITH A Person C Person
FRIENDS_WITH B Person C Person
ATTENDS A Person X School
ATTENDS B Person E School
BELONGS_TO X School Y District
PLAYS_FOR C Person Q Team
FRIENDS_WITH C Person G Person
FRIENDS_WITH G Person H Person
FRIENDS_WITH H Person K Person
FRIENDS_WITH Z Person I Person
FRIENDS_WITH I Person K Person
DRIVES B Person M Car
FRIENDS_WITH A Person J Person
FRIENDS_WITH J Person K Person
FRIENDS_WITH D Person L Person
FRIENDS_WITH L Person K Person
FRIENDS_WITH H Person J Person
FRIENDS_WITH A Person G Person
FRIENDS_WITH J Person G Person
BELONGS_TO E School Y District
LIVES_IN J Person Y District
LIVES_IN A Person Y District
LIVES_IN B Person Y District
DRIVES I Person M Car
